"'title'","'href'","'artist"'
"'Mr. Bojangles - Single Version'","'/track/1DGaqkDcIYIBZSpW5vyoOL'","'Sammy Davis Jr."'
"'Both Sides Now'","'/track/3NW1YMA8kfNVTzGJCGBS8m'","'Joni Mitchell"'
"'Sing It Back (Boris Musical Mix) (Edit)'","'/track/7boZbYtecOzGLzqd1abzIs'","'Moloko"'
"'Good Times I'm In Love (feat. Adjäna) [Edit]'","'/track/2dDxpjKd5uAWIFXhwdfG4n'","'Cerrone"'
"'Baby Don't Hurt Me'","'/track/3BKD1PwArikchz2Zrlp1qi'","'David Guetta"'
"'What Is Love - 7"'"' Mix'","'/track/7JkZ2hQdDonRURJjlMuh8q'","'Haddaway"'
"'Night Birds (7” Version)'","'/track/3DFKG13oQXpdRh6ptZKnMN'","'Shakatak"'
"'MacArthur Park'","'/track/5DBEFajBEaHgbbwe7oN0KP'","'Richard Harris"'
"'Mac Arthur's Park'","'/track/4s4cmiPsIlRATra1tLkZf7'","'Innocence"'
"'The Look of Love'","'/track/0EiGzshQIaM98eOXdKTGaD'","'Nina Simone"'
"'La groupie du pianiste'","'/track/6wKjE3MUATWp50BP22ENR1'","'Michel Berger"'
"'Where Is The Love?'","'/track/0xmjwnQ3FNE6HuWCt2nHdZ'","'Black Eyed Peas"'
"'Meet Me Halfway'","'/track/3F9ByoUqu31xU0I3G5xfVg'","'Black Eyed Peas"'
"'I Gotta Feeling'","'/track/4kLLWz7srcuLKA7Et40PQR'","'Black Eyed Peas"'
"'Papaoutai - Club Extended Version'","'/track/1tSACFMObQl1ttTmt9Nqoa'","'Ron Page"'
"'Papa Was A Rollin' Stone - Single Version'","'/track/7MiLmLbwNoyf47xQ4TCVYp'","'The Temptations"'
"'Papa'","'/track/6ZcnVeu1y6CBSaBg2Kb3bt'","'Paul Anka"'
"'Papa'","'/track/6Dkb4sANTPgy9F2lRcDzH3'","'Bigflo & Oli"'
"'Papa Don't Preach'","'/track/6A8OnjnpShshNpcqWtZRjr'","'Madonna"'
"'Daddy Cool'","'/track/3WMbD1OyfKuwWDWMNbPQ4g'","'Boney M."'
"'Je pars - Le vol de nuit s'en va'","'/track/6WcBrjcu1h4u6Se4YF7X1A'","'Nicolas Peyrac"'
"'Je pars'","'/track/1cK706NO4aPgzM0WjgBdvU'","'Gaël Faye"'
"'Suicide Is Painless'","'/track/6fVAG0GceRlhCyBZaKzQJE'","'The Mash"'
"'Hold Me Closer'","'/track/72yP0DUlWPyH8P7IoxskwN'","'Elton John"'
"'Believe'","'/track/2goLsvvODILDzeeiT4dAoR'","'Cher"'
"'It's My Life'","'/track/4TOGkYS141L15SkVosAp7Z'","'Dr. Alban"'
"'It's My Life'","'/track/0v1XpBHnsbkCn7iJ9Ucr1l'","'Bon Jovi"'
"'Who Can It Be Now?'","'/track/5rfJ2Bq2PEL8yBjZLzouEu'","'Men At Work"'
"'Killing Me Softly With His Song'","'/track/0Q4DIyz2G3VobOzTO5KI4g'","'Yuliet Topaz"'
"'Killing Me Softly With His Song - Live'","'/track/6gorlptfuzR3cGFVCQMfJm'","'Jessie J"'
"'Everybody Wants To Rule The World'","'/track/4RvWPyQ5RL0ao9LPZeSouE'","'Tears For Fears"'
"'Cold Heart - Acoustic'","'/track/0k6LV1ohcK2hlNPwu1nVw9'","'Elton John"'
"'Take The Long Way Home - 2010 Remastered'","'/track/0v0XYK0pLgsPiq5u4FKHaw'","'Supertramp"'
"'Show Me The Way'","'/track/6BD1X1PeV5UzYUdiVaD2yL'","'Peter Frampton"'
"'Space Oddity'","'/track/4AfvEr6sGTl9tT2taXpy8K'","'-M-"'
"'Life on Mars - Live'","'/track/1Nbzx5TSEVTLmujgfwsbQR'","'-M-"'
"'À toi'","'/track/4vyLHP36kMCHJ3tY8CTBcL'","'-M-"'
"'Back To Black'","'/track/3FAclTFfvUuQYnEsptbK8w'","'Amy Winehouse"'
"'Freed from Desire (Edit Mix) - prod. Molella, Phil Jay'","'/track/5R3uLBMR36RGTYdeYPwt8M'","'Gala"'
"'Murder On The Dancefloor'","'/track/4tKGFmENO69tZR9ahgZu48'","'Sophie Ellis-Bextor"'
"'The Sound of Silence - CYRIL Remix'","'/track/1LY3GhF0zxIVgbYEQjCbUO'","'Disturbed"'
"'Heaven'","'/track/01iYmkiwWzpDTxgoBHKqEy'","'Sound Of Legend"'
"'How Bizarre'","'/track/46q5BtHso0ECuTKeq70ZhW'","'OMC"'
